feature,type,rise_rate,drop_rate,base_rate,rise_lift,drop_lift,me_score,p_value,effect_size,n_rise,n_drop,direction,rise_mean,drop_mean,cliff_delta,fdr_pass
consec_dir,continuous,,,,,,2000001.0,0.0,1.0,93930,93929,rise_higher,1.9504,-1.9897,1.0,True
rsi_reclaim50,binary,18.519,0.575,9.547,1.94,0.06,32.213,0.0,0.3053,93930,93929,rise,,,,True
macd_bull_cross,binary,10.201,0.817,5.509,1.852,0.148,12.493,0.0,0.2057,93930,93929,rise,,,,True
above_bb_upper,binary,21.042,1.782,11.412,1.844,0.156,11.807,0.0,0.3029,93930,93929,rise,,,,True
rsi_slope,continuous,,,,,,10.778,0.0,0.8302,93924,93913,rise_higher,6.2757,-6.3351,0.8302,True
macd_hist_rising,binary,86.803,13.256,50.03,1.735,0.265,6.548,0.0,0.7355,93930,93929,rise,,,,True
dist_ema9_pct,continuous,,,,,,5.528,0.0,0.6936,93930,93929,rise_higher,0.2485,-0.2897,0.6936,True
rsi_above70,binary,16.397,3.328,9.863,1.663,0.337,4.927,0.0,0.2192,93930,93929,rise,,,,True
above_ema9,binary,79.004,18.499,48.751,1.621,0.379,4.271,0.0,0.6052,93930,93929,rise,,,,True
bb_pct,continuous,,,,,,3.797,0.0,0.5831,93906,93852,rise_higher,0.6905,0.2833,0.5831,True
above_all_emas,binary,57.065,15.382,36.223,1.575,0.425,3.71,0.0,0.4336,93930,93929,rise,,,,True
dist_ema20_pct,continuous,,,,,,3.003,0.0,0.5004,93930,93929,rise_higher,0.2645,-0.3481,0.5004,True
rsi,continuous,,,,,,2.874,0.0,0.4838,93926,93922,rise_higher,55.8121,43.0393,0.4838,True
vwap_dist_pct,continuous,,,,,,2.76,0.0,0.4681,93930,93929,rise_higher,0.2696,-0.3565,0.4681,True
above_ema20,binary,68.925,27.14,48.032,1.435,0.565,2.54,0.0,0.4182,93930,93929,rise,,,,True
above_vwap,binary,68.058,27.151,47.605,1.43,0.57,2.507,0.0,0.4095,93930,93929,rise,,,,True
rsi_above50,binary,65.904,29.862,47.883,1.376,0.624,2.207,0.0,0.3607,93930,93929,rise,,,,True
above_ema50,binary,60.704,34.153,47.429,1.28,0.72,1.777,0.0,0.2659,93930,93929,rise,,,,True
macd_hist,continuous,,,,,,1.614,0.0,0.2348,93930,93929,rise_higher,0.071,-0.0921,0.2348,True
macd_above_sig,binary,59.539,39.927,49.733,1.197,0.803,1.491,0.0,0.1961,93930,93929,rise,,,,True
ema9_bull_stack,binary,53.732,42.339,48.035,1.119,0.881,1.269,0.0,0.114,93930,93929,rise,,,,True
upper_dom,binary,43.414,35.61,39.512,1.099,0.901,1.219,0.0,0.0798,93930,93929,rise,,,,True
upper_wick_pct,continuous,,,,,,1.168,0.0,0.0776,93930,93929,rise_higher,11.2314,10.1561,0.0776,True
inside_bar,binary,5.319,4.734,5.027,1.058,0.942,1.123,0.0,0.0134,93930,93929,rise,,,,True
body_to_range,continuous,,,,,,1.076,0.0,0.0365,93930,93929,rise_higher,0.7858,0.7786,0.0365,True
vol_dry,binary,8.264,7.87,8.067,1.024,0.976,1.05,0.001724,0.0072,93930,93929,rise,,,,True
bb_squeeze,binary,22.328,21.544,21.936,1.018,0.982,1.036,4e-05,0.0095,93930,93929,rise,,,,True
shooting_star,binary,0.248,0.243,0.245,1.011,0.989,1.022,0.815726,0.0005,93930,93929,rise,,,,False
prior2_aligned_bear,binary,25.348,24.859,25.103,1.01,0.99,1.02,0.014648,0.0056,93930,93929,rise,,,,True
prev1_vol_ratio,continuous,,,,,,1.018,0.000941,0.0088,93929,93922,rise_higher,1.2763,1.2588,0.0088,True
vol_climax,binary,6.529,6.436,6.483,1.007,0.993,1.015,0.409938,0.0019,93930,93929,rise,,,,False
prev1_upper_wick,continuous,,,,,,1.014,0.007026,0.0072,93643,93637,rise_higher,23.4231,23.1596,0.0072,True
prev1_bb_pct,continuous,,,,,,1.014,0.010592,0.0068,93905,93845,rise_higher,0.4892,0.4854,0.0068,True
prev2_rsi,continuous,,,,,,1.013,0.013337,0.0066,93924,93913,rise_higher,49.5361,49.3737,0.0066,True
bb_width,continuous,,,,,,1.011,0.03395,0.0057,93906,93852,rise_higher,2.1821,2.1435,0.0057,True
prev1_rsi,continuous,,,,,,1.007,0.191178,0.0035,93926,93916,rise_higher,49.4671,49.3808,0.0035,False
prev2_body_pct,continuous,,,,,,1.007,0.169485,0.0037,93926,93918,rise_higher,0.1967,0.1948,0.0037,False
prev1_body_pct,continuous,,,,,,1.004,0.445118,0.002,93929,93922,rise_higher,0.1986,0.1975,0.002,False
is_power_hour,binary,18.678,18.607,18.642,1.002,0.998,1.004,0.692236,0.0009,93930,93929,rise,,,,False
hammer,binary,0.246,0.246,0.246,1.0,1.0,1.0,0.999909,0.0,93930,93929,drop,,,,False
atr_pct,continuous,,,,,,1.0,0.984548,0.0001,93930,93929,rise_higher,0.3618,0.3589,0.0001,False
prev1_lower_wick,continuous,,,,,,0.995,0.37334,0.0024,93643,93637,drop_higher,23.7798,23.7896,-0.0024,False
prev1_body_dir,binary,48.771,49.079,48.925,0.997,1.003,0.994,0.181597,0.0031,93929,93922,drop,,,,False
prev2_body_dir,binary,48.791,49.279,49.035,0.995,1.005,0.99,0.034164,0.0049,93926,93918,drop,,,,True
outside_bar,binary,14.153,14.303,14.228,0.995,1.005,0.989,0.35125,0.0022,93930,93929,drop,,,,False
compression_breakout,binary,11.579,11.71,11.644,0.994,1.006,0.989,0.375847,0.002,93930,93929,drop,,,,False
vol_ratio_20,continuous,,,,,,0.982,0.000655,0.0091,93930,93929,drop_higher,1.2831,1.2884,-0.0091,True
prior2_aligned_bull,binary,23.841,24.278,24.06,0.991,1.009,0.982,0.026806,0.0051,93930,93929,drop,,,,True
range_expanding_into,binary,73.013,74.888,73.951,0.987,1.013,0.975,0.0,0.0214,93930,93929,drop,,,,True
vol_accel_into,binary,53.263,54.841,54.052,0.985,1.015,0.971,0.0,0.0158,93930,93929,drop,,,,True
vol_expanding,binary,54.086,55.687,54.886,0.985,1.015,0.971,0.0,0.0161,93930,93929,drop,,,,True
vol_ratio_5,continuous,,,,,,0.964,0.0,0.0185,93930,93929,drop_higher,1.0839,1.0985,-0.0185,True
body_pct,continuous,,,,,,0.963,0.0,0.0191,93930,93929,drop_higher,0.3462,0.3481,-0.0191,True
atr_expansion,continuous,,,,,,0.957,0.0,0.022,93922,93913,drop_higher,1.0615,1.063,-0.022,True
lower_wick_pct,continuous,,,,,,0.841,0.0,0.0864,93930,93929,drop_higher,10.4596,11.7089,-0.0864,True
gap_pct,continuous,,,,,,0.82,0.0,0.099,4186,4042,drop_higher,-0.0782,0.1812,-0.099,True
lower_dom,binary,36.818,45.158,40.988,0.898,1.102,0.815,0.0,0.0848,93930,93929,drop,,,,True
below_all_emas,binary,18.035,61.954,39.994,0.451,1.549,0.291,0.0,0.4483,93930,93929,drop,,,,True
rsi_below30,binary,3.456,17.499,10.478,0.33,1.67,0.197,0.0,0.2293,93930,93929,drop,,,,True
macd_bear_cross,binary,0.779,10.218,5.499,0.142,1.858,0.076,0.0,0.207,93930,93929,drop,,,,True
below_bb_lower,binary,1.701,23.039,12.37,0.138,1.862,0.074,0.0,0.324,93930,93929,drop,,,,True
rsi_lose50,binary,0.596,18.485,9.541,0.062,1.938,0.032,0.0,0.3045,93930,93929,drop,,,,True
body_dir,binary,100.0,0.0,50.0,2.0,0.0,,0.0,1.0,93930,93929,drop,,,,True
is_open_30m,binary,0.0,0.0,0.0,,,,,,93930,93929,drop,,,,False
